scopus_source_id,print_issn,real _frequency,journal_website,e_issn,real_review_time
24326,2184885,Bi-monthly,http://www.worldscinet.com/ijufks/ijufks.shtml,17936411,
24330,10769757,Annual,http://www.jair.org/,19435037,27 weeks
24354,1687433,Bi-monthly,http://www.springerlink.com/content/100280/,15730670,
24357,0952813X,Quarterly,http://www.tandfonline.com/loi/teta20,13623079,
24358,13811231,Bi-monthly,http://www.springerlink.com/content/102935/,15729397,
24360,9210296,Monthly,http://www.springerlink.com/content/100290/,15730409,
24361,9259902,Bi-monthly,http://www.springerlink.com/content/100289/,15737675,
24363,9565515,Bi-monthly,http://www.springerlink.com/content/0956-5515,15728145,
24449,235954,Bi-monthly,http://www.kybernetika.cz/,1805949X,
24772,9507051,Bi-monthly,http://www.journals.elsevier.com/knowledge-based-systems/#description,18727409,
24774,2698889,Annual,http://journals.cambridge.org/action/displayJournal?jid=KER,14698005,
24775,8856125,Monthly,unsafe:jttp://www.springerlink.com/content/100309/,15730565,
24777,9246495,Quarterly,http://www.springerlink.com/content/100314/,15728641,
24800,9410643,Monthly,http://www.springerlink.com/content/102827/,14333058,
24802,12100552,Bi-monthly,http://www.nnw.cz/,23364335,
24804,8936080,Monthly,http://www.journals.elsevier.com/neural-networks/,18792782,
24806,13704621,Bi-monthly,http://www.springerlink.com/content/100321/,1573773X,
24807,9252312,Semi-monthly,http://www.journals.elsevier.com/neurocomputing/#description,18728286,
24822,14337541,Quarterly,http://www.springerlink.com/content/103609/,1433755X,
24823,313203,Monthly,http://www.journals.elsevier.com/pattern-recognition/#description,18735142,
24825,1678655,Monthly,http://www.journals.elsevier.com/pattern-recognition/#description,18727344,
24847,0992499X,,,,
