scopus_source_id,print_issn,e_issn,frequency,review_time,journal_website
21100814051,23986247,,Quarterly,,http://www.emeraldinsight.com/loi/idd
21100819609,17323916,20838476,Monthly,,https://www.ejournals.eu/Schedae-Informaticae/
21100827423,1511788X,22897860,Semi-annual,40 weeks,http://journals.iium.edu.my/ejournal/index.php/iiumej
21100829147,20054238,22076360,Monthly,,http://sersc.org/journals/index.php/ijast
21100830173,23765992,,Monthly,,https://peerj.com/computer-science/
21100831436,22502106,22502114,Bi-monthly,,https://www.springer.com/journal/40031
21100832567,24712566,24712574,Quarterly,,http://tops.acm.org/
21100834310,18119905,25422251,Quarterly,,http://vestnik.spbu.ru/ENG/s10.html
21100837465,19951302,24150584,Semi-annual,,https://portal.issn.org/
21100840337,20788665,24117986,Quarterly,24 weeks,http://bsj.uobaghdad.edu.iq/index.php/BSJ
21100840458,23034521,,Semi-annual,7 weeks,http://oaji.net/journal-detail.html?number=3337
21100857172,20793197,,Quarterly,,https://www.mdpi.com/journal/computation
21100869224,24557749,,Bi-monthly,,https://www.ijmems.in/
21100871307,22991093,,Annual,,https://benthamopen.com/COMPSCI/home/
21100889858,25281410,25278045,Tri-annual,,https://ejournal.upi.edu/index.php/ijost/
21463,1476072X,,Annual,12 weeks,http://www.ij-healthgeographics.com/
22382,16714512,,Annual,,https://scholars.cityu.edu.hk/en/journals/huazhong-keji-daxue-xuebao-ziran-kexue-banjournal-of-huazhong-university-of-science-and-technology-natural-science-edition(204e9919-c26e-4103-adfa-3f1e42a79a70)/publications.html
22489,3772217,18726860,Semi-annual,,http://www.journals.elsevier.com/european-journal-of-operational-research/#description
22933,13000632,13036203,Bi-monthly,,http://journals.tubitak.gov.tr/elektrik/index.php
23038,3600300,15577341,Quarterly,,http://surveys.acm.org/
23051,15293785,1557945X,Quarterly,,http://tocl.acm.org/
23087,1784617,14320541,Monthly,,http://www.springerlink.com/content/100117/
23792,104620,14602067,Bi-monthly,,http://comjnl.oxfordjournals.org/
24304,9259724,15737551,Bi-monthly,,http://www.springerlink.com/content/100250/
