Title,Citation Count,Scholarly Output,Percent Cited,CiteScore,SNIP,SJR,subject_area,Percentile,RANK,Rank Out Of,Publisher,Open Access,Quartile,URL Scopus Source ID,Print ISSN,E-ISSN,Index,Publisher2,Percentile2,Open Access2
Journal of Advanced Research in Dynamical and Control Systems,2437,6462,13.1,0.4,0.273,0.129,General Computer Science,10.0,199.0,221.0,Institute of Advanced Scientific Research,NO,4.0,https://www.scopus.com/sourceid/20500195215,1943-023X,,Scopus,Others,400.0,No
International Journal of Intelligent Computing and Cybernetics,168,110,53.6,1.5,0.45,0.24,General Computer Science,44.0,123.0,221.0,Emerald,NO,3.0,https://www.scopus.com/sourceid/19700182406,1756-378X,1756-3798,Scopus,Others,300.0,No
Scientific and Technical Information Processing,151,203,32.0,0.7,1.002,0.28300000000000003,General Computer Science,20.0,177.0,221.0,Pleiades Publishing,NO,4.0,https://www.scopus.com/sourceid/19700186858,0147-6882,1934-8118,Scopus,Others,400.0,No
Electronic Notes in Theoretical Computer Science,383,326,38.7,1.2,0.735,0.354,General Computer Science,35.0,142.0,221.0,Elsevier,YES,3.0,https://www.scopus.com/sourceid/20569,1571-0661,,Scopus,Elsevier,300.0,Yes
International Journal of Social Robotics,1203,193,81.9,6.2,2.205,0.882,General Computer Science,89.0,24.0,221.0,Springer Nature,NO,1.0,https://www.scopus.com/sourceid/19500157063,1875-4791,1875-4805,Scopus,Springer,100.0,No
Memetic Computing,625,105,80.0,6.0,1.466,0.838,General Computer Science,88.0,26.0,221.0,Springer Nature,NO,1.0,https://www.scopus.com/sourceid/17400154829,1865-9284,1865-9292,Scopus & SCIEISI,Springer,100.0,No
International Journal of Decision Support System Technology,88,68,48.5,1.3,0.607,0.157,General Computer Science,38.0,136.0,221.0,IGI Global Publishing,NO,3.0,https://www.scopus.com/sourceid/21100201512,1941-6296,1941-630X,Scopus,IGI Global,300.0,No
International Journal of Humanities and Arts Computing,7,28,10.7,0.3,0.0,0.115,General Computer Science,7.0,204.0,221.0,Edinburgh University Press,NO,4.0,https://www.scopus.com/sourceid/21100901130,1753-8548,1755-1706,Scopus,Others,400.0,No
Uniciencia,1,16,6.3,0.1,,,General Computer Science,3.0,213.0,221.0,Universidad Nacional,NO,4.0,https://www.scopus.com/sourceid/21100931880,,2215-3470,Scopus,Others,400.0,No
Journal of Robotics and Mechatronics,581,389,56.6,1.5,0.608,0.289,General Computer Science,43.0,125.0,221.0,Fuji Technology Press,NO,3.0,https://www.scopus.com/sourceid/21100197345,0915-3942,1883-8049,Scopus,Others,300.0,No
